time,x,y,v,w,yaw
78.0994,0.508619,-0.00742342,0.0003873531370965084,0.0,-0.000831187
78.4994,0.508666,-0.00742346,0.000528751208370553,0.0,-0.000831187
78.7994,0.508685,-0.00742348,0.0004354621596005466,0.0,-0.000831187
79.1994,0.508686,-0.00742348,0.00024282511020860774,0.0,-0.000831187
79.4994,0.508749,-0.00742353,0.0005244682066830441,0.0,-0.000831187
79.8994,0.50885,-0.00742362,0.0008181382607305015,0.0,-0.000831187
80.1993,0.508836,-0.0074236,0.0004815461814267538,0.0,-0.000831187
80.5993,0.508837,-0.0074236,0.00027363409866089047,0.0,-0.000831187
80.9993,0.508855,-0.00742362,0.00026283910357939957,0.0,-0.000831187
81.2993,0.508839,-0.00742361,8.969404866204409e-05,0.0,-0.000831187
81.6993,0.508839,-0.00742361,3.57628e-05,0.0,-0.000831187
81.9993,0.508857,-0.00742362,0.0001253950347100208,0.0,-0.000831187
82.2993,0.508839,-0.00742361,1.191149087639894e-05,0.0,-0.000831187
82.6993,0.508839,-0.00742361,2.3870545529380106e-05,0.0,-0.000831187
82.9993,0.508858,-0.00742362,8.327995186744089e-05,0.0,-0.000831187
83.3993,0.50886,-0.00742362,8.927314843373036e-05,0.0,-0.000831187
83.6993,0.50884,-0.00742361,4.1581925897441414e-05,0.0,-0.000831187
84.0993,0.508839,-0.00742361,4.765992272603409e-05,0.0,-0.000831187
84.3993,0.50886,-0.00742362,8.894454825544482e-05,0.0,-0.000831187
84.7993,0.50884,-0.00742361,4.773622276240531e-05,0.0,-0.000831187
85.0993,0.508839,-0.00742361,5.368182022508963e-05,0.0,-0.000831187
85.4993,0.508858,-0.00742362,7.12051603613195e-05,0.0,-0.000831187
85.7993,0.50884,-0.00742361,4.759802269656594e-05,0.0,-0.000831187
86.1993,0.50884,-0.00742361,4.765992272603409e-05,0.0,-0.000831187
86.4993,0.508858,-0.00742362,7.146136057838076e-05,0.0,-0.000831187
86.8992,0.50886,-0.00742362,8.351335201270254e-05,0.0,-0.000831187
87.2992,0.50884,-0.00742361,5.3419820126491795e-05,0.0,-0.000831187
87.5992,0.508839,-0.00742361,5.345182013848061e-05,0.0,-0.000831187
87.9992,0.50886,-0.00742362,8.385741305674448e-05,0.0,-0.000831187
88.2992,0.50884,-0.00742361,5.353718068261788e-05,0.0,-0.000831187
88.6992,0.508839,-0.00742361,5.40768e-05,0.0,-0.000831187
88.9992,0.50886,-0.00742362,8.368081302927494e-05,0.0,-0.000831187
89.3992,0.50884,-0.00742361,5.3703320233221915e-05,0.0,-0.000831187
89.6992,0.508839,-0.00742361,5.371942023930885e-05,0.0,-0.000831187
90.0992,0.508858,-0.00742362,7.21242152851353e-05,0.0,-0.000831187
90.3992,0.50884,-0.00742361,5.369798092483413e-05,0.0,-0.000831187
90.7992,0.50884,-0.00742361,4.7357e-05,0.0,-0.000831187
91.0992,0.508858,-0.00742362,6.585496643725907e-05,0.0,-0.000831187
91.4992,0.50886,-0.00742362,8.342151298890068e-05,0.0,-0.000831187
91.7992,0.50884,-0.00742361,4.749372264678836e-05,0.0,-0.000831187
92.1992,0.508839,-0.00742361,4.80925e-05,0.0,-0.000831187
92.4992,0.50886,-0.00742362,8.344651299276482e-05,0.0,-0.000831187
92.8992,0.50884,-0.00742361,5.326602006846531e-05,0.0,-0.000831187
93.2991,0.50884,-0.00742361,4.7541122669401104e-05,0.0,-0.000831187
93.5991,0.508858,-0.00742362,7.191391524057608e-05,0.0,-0.000831187
93.9991,0.50886,-0.00742362,8.41364524008586e-05,0.0,-0.000831187
94.2991,0.50884,-0.00742361,4.75127e-05,0.0,-0.000831187
94.6991,0.508858,-0.00742362,7.100721504842097e-05,0.0,-0.000831187
94.9991,0.508881,-0.00742364,0.0001948641365181347,0.0,-0.000831187
95.3991,0.50884,-0.00742361,7.761025605857929e-05,0.0,-0.000831187
95.6991,0.508858,-0.00742362,4.747482263773417e-05,0.0,-0.000831187
96.0991,0.50886,-0.00742362,7.217521529587648e-05,0.0,-0.000831187
96.3991,0.50884,-0.00742361,5.9373118119202566e-05,0.0,-0.000831187
96.7991,0.508858,-0.00742362,6.51741164376317e-05,0.0,-0.000831187
97.0991,0.508881,-0.00742364,0.00019071609094036224,0.0,-0.000831187
97.4991,0.50884,-0.00742361,7.159001517191476e-05,0.0,-0.000831187
97.8991,0.50884,-0.00742361,5.9634572795810056e-05,0.0,-0.000831187
98.1991,0.508858,-0.00742362,5.971211822270108e-05,0.0,-0.000831187
98.5991,0.50886,-0.00742362,7.736231396984044e-05,0.0,-0.000831187
98.8991,0.50884,-0.00742361,5.305001998717192e-05,0.0,-0.000831187
99.2991,0.508839,-0.00742361,5.35585e-05,0.0,-0.000831187
99.5991,0.50886,-0.00742362,8.350501300184822e-05,0.0,-0.000831187
99.999,0.50884,-0.00742361,5.361742020091549e-05,0.0,-0.000831187
100.299,0.508839,-0.00742361,5.3692520229218015e-05,0.0,-0.000831187
100.699,0.508858,-0.00742362,6.565701655944675e-05,0.0,-0.000831187
101.099,0.50886,-0.00742362,8.374805215882862e-05,0.0,-0.000831187
101.399,0.50884,-0.00742361,4.793789143397957e-05,0.0,-0.000831187
101.799,0.508839,-0.00742361,5.35585e-05,0.0,-0.000831187
102.099,0.50886,-0.00742362,8.362211302011107e-05,0.0,-0.000831187
102.499,0.50884,-0.00742361,5.325542006455966e-05,0.0,-0.000831187
102.799,0.508839,-0.00742361,5.363882020899865e-05,0.0,-0.000831187
103.199,0.508858,-0.00742362,7.1704860784984e-05,0.0,-0.000831187
103.599,0.50886,-0.00742362,8.36640130266452e-05,0.0,-0.000831187
103.899,0.50884,-0.00742361,4.775062276921073e-05,0.0,-0.000831187
104.299,0.508858,-0.00742362,7.079641500370732e-05,0.0,-0.000831187
104.599,0.50884,-0.00742361,4.7253722532323044e-05,0.0,-0.000831187
104.999,0.50884,-0.00742361,4.7531622664849026e-05,0.0,-0.000831187
105.299,0.508858,-0.00742362,7.154706065117465e-05,0.0,-0.000831187
105.699,0.508858,-0.00742362,7.150416061475499e-05,0.0,-0.000831187
106.099,0.50884,-0.00742361,4.76742e-05,0.0,-0.000831187
106.399,0.508839,-0.00742361,5.337202010838983e-05,0.0,-0.000831187
106.799,0.508858,-0.00742362,7.150411515372613e-05,0.0,-0.000831187
107.099,0.50884,-0.00742361,4.78032227943244e-05,0.0,-0.000831187
107.499,0.50884,-0.00742361,4.765992272603409e-05,0.0,-0.000831187
107.799,0.508858,-0.00742362,7.1704860784984e-05,0.0,-0.000831187
108.199,0.50886,-0.00742362,8.396711307381576e-05,0.0,-0.000831187
108.499,0.50884,-0.00742361,4.773142276010429e-05,0.0,-0.000831187
108.899,0.508839,-0.00742361,7.147556059056202e-05,0.0,-0.000831187
109.199,0.508856,-0.00742362,3.590283043524914e-05,0.0,-0.000831187
109.599,0.508881,-0.00742364,0.00018459005275668153,0.0,-0.000831187
109.999,0.50884,-0.00742361,8.27924515638053e-05,0.0,-0.000831187
110.299,0.508859,-0.00742362,3.5510730102662617e-05,0.0,-0.000831187
110.699,0.508856,-0.00742362,1.1946e-05,0.0,-0.000831187
110.999,0.50884,-0.00742361,9.535794547013114e-05,0.0,-0.000831187
111.399,0.508839,-0.00742361,0.00010753604051508689,0.0,-0.000831187
111.699,0.508881,-0.00742364,0.000173548056677645,0.0,-0.000831187
112.099,0.50884,-0.00742361,8.317201295006974e-05,0.0,-0.000831187
112.499,0.50884,-0.00742361,7.121221509182477e-05,0.0,-0.000831187
112.799,0.508858,-0.00742362,5.9640418200832184e-05,0.0,-0.000831187
113.199,0.50886,-0.00742362,7.291091545181026e-05,0.0,-0.000831187
113.499,0.50884,-0.00742361,5.358522018882842e-05,0.0,-0.000831187
113.899,0.508839,-0.00742361,5.879331794231538e-05,0.0,-0.000831187
114.299,0.508858,-0.00742362,6.57558e-05,0.0,-0.000831187
114.599,0.50884,-0.00742361,5.35585e-05,0.0,-0.000831187
114.999,0.50884,-0.00742361,5.339852011845776e-05,0.0,-0.000831187
